freq	morph	lang	stem	morph_type	person	gender	number	state	pos	lexical_class	distinct_variants
2	Vfi3ms	H	hithpalpel	yiqtol	third	masculine	singular		verb	verb	1
1	VQw3fs	H	qal passive	wayyiqtol	third	feminine	singular		verb	verb	1
1	Vkrmpc	H	palel	participle active		masculine	plural	construct	verb	verb	1
1	Vvw1cs	H		wayyiqtol	first	common	singular		verb	verb	1
1	VPa	H	pual	infinitive absolute					verb	verb	1
1	Vfp1cp	H	hithpalpel	qatal	first	common	plural		verb	verb	1
1	Vpp2fp	H	piel	qatal	second	feminine	plural		verb	verb	1
1	Vmq3cp	H	poel	weqatal	third	common	plural		verb	verb	1
1	VHw3mp	H	hophal	wayyiqtol	third	masculine	plural		verb	verb	1
1	Vqq2cp	H	qal	weqatal	second	common	plural		verb	verb	1
1	Vmi2mp	H	poel	yiqtol	second	masculine	plural		verb	verb	1
1	Vrj3fs	H	hithpolel	jussive	third	feminine	singular		verb	verb	1
1	VHi1cp	H	hophal	yiqtol	first	common	plural		verb	verb	1
1	VDq3ms	H	nithpael	weqatal	third	masculine	singular		verb	verb	1
1	VNi2fp	H	niphal	yiqtol	second	feminine	plural		verb	verb	1
1	Aabsa	H		adjective		both	singular	absolute	adjective	adj	1
1	VNrfsc	H	niphal	participle active		feminine	singular	construct	verb	verb	1
1	VHp1cp	H	hophal	qatal	first	common	plural		verb	verb	1
1	Vow1cs	H	polel	wayyiqtol	first	common	singular		verb	verb	1
1	Sp2cs	H		pronominal	second	common	singular		suffix	pron	1
1	VMsfpa	H	poal	participle passive		feminine	plural	absolute	verb	verb	1
1	Vmrfsa	H	poel	participle active		feminine	singular	absolute	verb	verb	1
1	Vlw1cs	H	pilpel	wayyiqtol	first	common	singular		verb	verb	1
1	VLp3cp	H	polpal	qatal	third	common	plural		verb	verb	1
1	Vvw3ms	H		wayyiqtol	third	masculine	singular		verb	verb	1
1	Vmw3ms	H	poel	wayyiqtol	third	masculine	singular		verb	verb	1
1	Vvq1cs	H		weqatal	first	common	singular		verb	verb	1
1	VHj3fs	H	hophal	jussive	third	feminine	singular		verb	verb	1
1	Vfrmpa	H	hithpalpel	participle active		masculine	plural	absolute	verb	verb	1
1	Vhrfsc	A	haphel	participle active		feminine	singular	construct	verb	verb	1
1	VMrfsa	A	hithpaal	participle active		feminine	singular	absolute	verb	verb	1
1	Aocpa	A		ordinal number		common	plural	absolute	adjective	num	1
1	Pi3ms	A		interrogative	third	masculine	singular		pronoun	pron	1
1	Vurfsa	A	hithpeel	participle active		feminine	singular	absolute	verb	verb	1
1	Vav2ms	A	aphel	imperative	second	masculine	singular		verb	verb	1
1	Vhsmpa	A	haphel	participle passive		masculine	plural	absolute	verb	verb	1
1	Vssmpa	A	saphel	participle passive		masculine	plural	absolute	verb	verb	1
1	Vusfsa	A	hithpeel	participle passive		feminine	singular	absolute	verb	verb	1
1	Acbda	A		cardinal number		both	dual	absolute	adjective	num	1
1	Acbsc	A		cardinal number		both	singular	construct	adjective	num	1
1	Vpi2ms	A	pael	yiqtol	second	masculine	singular		verb	verb	1
1	Vusmpa	A	hithpeel	participle passive		masculine	plural	absolute	verb	verb	1
1	Pixcs	A		interrogative		common	singular		pronoun	pron	1
1	Vpv2ms	A	pael	imperative	second	masculine	singular		verb	verb	1
1	Vtw1cp	H	hithpael	wayyiqtol	first	common	plural		verb	verb	1
1	Vlp2ms	H	pilpel	qatal	second	masculine	singular		verb	verb	1
1	VPw3ms	H	pual	wayyiqtol	third	masculine	singular		verb	verb	1
1	Vfw3fs	H	hithpalpel	wayyiqtol	third	feminine	singular		verb	verb	1
1	Vkp3cp	H	palel	qatal	third	common	plural		verb	verb	1
1	VHi1cs	H	hophal	yiqtol	first	common	singular		verb	verb	1
1	VOp2ms	H	polal	qatal	second	masculine	singular		verb	verb	1
1	Vkp3fs	H	palel	qatal	third	feminine	singular		verb	verb	1
1	VOi3mp	H	polal	yiqtol	third	masculine	plural		verb	verb	1
1	Via	H	pilel	infinitive absolute					verb	verb	1
1	VMi3mp	H	poal	yiqtol	third	masculine	plural		verb	verb	1
1	Vrrmsc	H	hithpolel	participle active		masculine	singular	construct	verb	verb	1
1	Vrw2ms	H	hithpolel	wayyiqtol	second	masculine	singular		verb	verb	1
1	Vrq1cs	H	hithpolel	weqatal	first	common	singular		verb	verb	1
1	Vmj3fs	H	poel	jussive	third	feminine	singular		verb	verb	1
1	Vrw1cp	H	hithpolel	wayyiqtol	first	common	plural		verb	verb	1
1	Vtj3fs	H	hithpael	jussive	third	feminine	singular		verb	verb	1
1	Voh1cp	H	polel	cohortative	first	common	plural		verb	verb	1
1	Vjp3ms	H	pealal	qatal	third	masculine	singular		verb	verb	1
1	VQp1cp	H	qal passive	qatal	first	common	plural		verb	verb	1
1	Vjp2ms	H	pealal	qatal	second	masculine	singular		verb	verb	1
1	Vvv2fs	H		imperative	second	feminine	singular		verb	verb	1
1	VHi3fp	H	hophal	yiqtol	third	feminine	plural		verb	verb	1
1	Vrrmpc	H	hithpolel	participle active		masculine	plural	construct	verb	verb	1
1	VOi3fp	H	polal	yiqtol	third	feminine	plural		verb	verb	1
1	Vzc	H		infinitive construct					verb	verb	1
1	VMsmpc	H	poal	participle passive		masculine	plural	construct	verb	verb	1
1	Vow3fs	H	polel	wayyiqtol	third	feminine	singular		verb	verb	1
1	Vow3mp	H	polel	wayyiqtol	third	masculine	plural		verb	verb	1
1	Vrj3mp	H	hithpolel	jussive	third	masculine	plural		verb	verb	1
1	Vfp1cs	H	hithpalpel	qatal	first	common	singular		verb	verb	1
1	Vlp1cs	H	pilpel	qatal	first	common	singular		verb	verb	1
1	VPc	H	pual	infinitive construct					verb	verb	1
1	Vvh1cp	H		cohortative	first	common	plural		verb	verb	1
1	Voh1cs	H	polel	cohortative	first	common	singular		verb	verb	1
1	Sp3cs	H		pronominal	third	common	singular		suffix	pron	1
1	Vlv2ms	H	pilpel	imperative	second	masculine	singular		verb	verb	1
1	Vpsmsa	H	piel	participle passive		masculine	singular	absolute	verb	verb	1
1	Vtrmsc	H	hithpael	participle active		masculine	singular	construct	verb	verb	1
1	VDp3fs	H	nithpael	qatal	third	feminine	singular		verb	verb	1
1	VMsmsa	H	poal	participle passive		masculine	singular	absolute	verb	verb	1
1	Vrp3ms	H	hithpolel	qatal	third	masculine	singular		verb	verb	1
1	VQi2mp	H	qal passive	yiqtol	second	masculine	plural		verb	verb	1
1	VHq2mp	H	hophal	weqatal	second	masculine	plural		verb	verb	1
1	Vlrmpa	H	pilpel	participle active		masculine	plural	absolute	verb	verb	1
1	VMsfsa	H	poal	participle passive		feminine	singular	absolute	verb	verb	1
1	VOi3ms	H	polal	yiqtol	third	masculine	singular		verb	verb	1
1	Vli2fs	H	pilpel	yiqtol	second	feminine	singular		verb	verb	1
1	Vrq3fs	H	hithpolel	weqatal	third	feminine	singular		verb	verb	1
1	Vli3fs	H	pilpel	yiqtol	third	feminine	singular		verb	verb	1
1	VQi2ms	H	qal passive	yiqtol	second	masculine	singular		verb	verb	1
1	Vhrfpc	H	hiphil	participle active		feminine	plural	construct	verb	noun	1
1	Vrsmsa	H	hithpolel	participle passive		masculine	singular	absolute	verb	verb	1
1	VLi2mp	H	polpal	yiqtol	second	masculine	plural		verb	verb	1
1	Vvp3cp	H		qatal	third	common	plural		verb	verb	1
1	Vpv2fp	H	piel	imperative	second	feminine	plural		verb	verb	1
1	VMp3cp	H	poal	qatal	third	common	plural		verb	verb	1
1	Vci2ms	H		yiqtol	second	masculine	singular		verb	verb	1
1	VHsmpc	H	hophal	participle passive		masculine	plural	construct	verb	verb	1
1	VQp1cs	H	qal passive	qatal	first	common	singular		verb	verb	1
1	Vcrmsa	H		participle active		masculine	singular	absolute	verb	verb	1
1	Vmrmpc	H	poel	participle active		masculine	plural	construct	verb	verb	1
1	Vmi3fs	H	poel	yiqtol	third	feminine	singular		verb	verb	1
1	Vzrmpa	H		participle active		masculine	plural	absolute	verb	verb	1
1	Vhi2fp	H	hiphil	yiqtol	second	feminine	plural		verb	verb	1
1	Vrv2fp	H	hithpolel	imperative	second	feminine	plural		verb	verb	1
1	VHv2mp	H	hophal	imperative	second	masculine	plural		verb	verb	1
1	VQp3fs	H	qal passive	qatal	third	feminine	singular		verb	verb	1
1	Vla	H	pilpel	infinitive absolute					verb	verb	1
1	Vfi3fs	H	hithpalpel	yiqtol	third	feminine	singular		verb	verb	1
1	Vmv2ms	H	poel	imperative	second	masculine	singular		verb	verb	1
1	Vtrfpa	H	hithpael	participle active		feminine	plural	absolute	verb	verb	1
1	Voi2fp	H	polel	yiqtol	second	feminine	plural		verb	verb	1
1	VHp2fs	H	hophal	qatal	second	feminine	singular		verb	verb	1
1	VHw2fs	H	hophal	wayyiqtol	second	feminine	singular		verb	verb	1
1	VDq3cp	H	nithpael	weqatal	third	common	plural		verb	verb	1
1	VPi2fs	H	pual	yiqtol	second	feminine	singular		verb	verb	1
1	VNw2fs	H	niphal	wayyiqtol	second	feminine	singular		verb	verb	1
1	VHq2ms	H	hophal	weqatal	second	masculine	singular		verb	verb	1
1	VHv2ms	H	hophal	imperative	second	masculine	singular		verb	verb	1
1	Vosfsa	H	polel	participle passive		feminine	singular	absolute	verb	verb	1
1	Vvq3ms	H		weqatal	third	masculine	singular		verb	verb	1
